simulation_id,protocol,success_count,failure_count,total_eprs_used,average_fidelity
1,Random,83,17,5790,0.923392952155045
2,Random,76,24,5916,0.9230168826378812
3,Random,82,18,5652,0.923103811274538
4,Random,87,13,5524,0.9256123046885838
5,Random,83,17,5910,0.9229187285814242
6,Random,74,26,5792,0.9247057232455295
7,Random,77,23,5828,0.9238461828111547
8,Random,79,21,6130,0.9231418887232156
9,Random,80,20,6240,0.9222137259557088
10,Random,82,18,5542,0.9247277227880555
11,Random,78,22,5924,0.9225557704316002
12,Random,78,22,5758,0.9245844962939674
13,Random,82,18,5700,0.9241093666111767
14,Random,81,19,5998,0.9242398540308105
15,Random,79,21,5750,0.9239787230364148
16,Random,89,11,5706,0.9230006732204759
17,Random,79,21,5936,0.9235315431863722
18,Random,84,16,5566,0.9257309346167808
19,Random,80,20,5984,0.9228266701060979
20,Random,79,21,5950,0.924130083158011
21,Random,85,15,5866,0.922673779655079
22,Random,86,14,5816,0.9235454270552601
23,Random,80,20,5876,0.9231954221813563
24,Random,75,25,5926,0.92301565711991
25,Random,79,21,5768,0.9239321050586927
26,Random,74,26,5906,0.922810668034763
27,Random,80,20,5712,0.9245954516276755
28,Random,82,18,6044,0.9225618920169849
29,Random,80,20,5882,0.9230895659202535
30,Random,80,20,5570,0.9243904374436163
31,Random,78,22,5862,0.9231291307168464
32,Random,80,20,6032,0.9225517274185202
33,Random,77,23,5856,0.9239364852732745
34,Random,87,13,5392,0.9256618872633803
35,Random,85,15,5574,0.924041462835628
36,Random,83,17,5664,0.9236460304162749
37,Random,80,20,5968,0.9221662876607423
38,Random,79,21,5840,0.9237309283827178
39,Random,80,20,5800,0.9232388786014627
40,Random,69,31,6018,0.9224328127754899
41,Random,82,18,5806,0.9236760535299611
42,Random,78,22,6008,0.922043139064839
43,Random,77,23,5940,0.9226625610820822
44,Random,77,23,6166,0.9231832636869954
45,Random,80,20,6236,0.9216762826121329
46,Random,83,17,6012,0.9235230684368223
47,Random,76,24,6578,0.9205604176667181
48,Random,77,23,6124,0.9218530902323666
49,Random,75,25,6440,0.9216425599484993
50,Random,75,25,6046,0.9230994633373181
51,Random,83,17,5660,0.923822022087389
52,Random,78,22,5906,0.9229339264569654
53,Random,80,20,5782,0.9236944489159942
54,Random,72,28,6060,0.9227398933916707
55,Random,70,30,6054,0.9218795050275488
56,Random,73,27,6356,0.9231944513429294
57,Random,81,19,5804,0.9240654352710167
58,Random,89,11,5744,0.9242813243699108
59,Random,79,21,6174,0.9224257298387448
60,Random,80,20,5690,0.9225604994839346
61,Random,76,24,6140,0.9224192746638376
62,Random,78,22,6142,0.9233592794856222
63,Random,77,23,5932,0.9233281680697805
64,Random,79,21,5878,0.9240327761635821
65,Random,82,18,6116,0.9215784453211998
66,Random,88,12,6022,0.9236691751488157
67,Random,81,19,6004,0.9241633282637096
68,Random,82,18,5846,0.9236025664888027
69,Random,76,24,6182,0.922140951785463
70,Random,79,21,6316,0.9218389086807959
71,Random,80,20,6064,0.9231224132210442
72,Random,83,17,6040,0.9219910716086683
73,Random,76,24,5978,0.9228490955213033
74,Random,80,20,5732,0.9233160278690761
75,Random,76,24,6222,0.9228410245874055
76,Random,84,16,5968,0.9219403995444153
77,Random,81,19,5926,0.9227020965325743
78,Random,83,17,5800,0.924750068011046
79,Random,77,23,5716,0.9224360072898207
80,Random,78,22,5950,0.9230868872800633
81,Random,82,18,5654,0.9238181714837862
82,Random,79,21,5920,0.9234722951070737
83,Random,80,20,5980,0.9228944301625069
84,Random,75,25,5796,0.9241046618451463
85,Random,82,18,5748,0.9241948226970896
86,Random,76,24,6248,0.921381171764206
87,Random,70,30,6092,0.9228415202845193
88,Random,74,26,5858,0.9230215525758472
89,Random,81,19,5786,0.9229978803629983
90,Random,77,23,5974,0.9236446913519107
91,Random,81,19,5966,0.922054922992137
92,Random,80,20,5758,0.9235432241052458
93,Random,79,21,5704,0.9247170486100877
94,Random,80,20,6146,0.9234184311621378
95,Random,76,24,6198,0.9234182480990704
96,Random,81,19,5690,0.9237147855117358
97,Random,81,19,5878,0.9233380590581187
98,Random,81,19,5922,0.9240046703951511
99,Random,86,14,5600,0.9245631207444858
100,Random,79,21,5972,0.9227279822486699
