simulation_id,protocol,success_count,failure_count,total_eprs_used,average_fidelity
1,Random,100,0,6960,0.933370812647759
2,Random,100,0,7500,0.9331626824506448
3,Random,100,0,7050,0.933869541865311
4,Random,100,0,7320,0.9329196313935966
5,Random,100,0,7680,0.9328817170549975
6,Random,100,0,7590,0.9320036900845122
7,Random,100,0,7590,0.9328196911218052
8,Random,100,0,7230,0.9345217513157852
9,Random,100,0,8490,0.9313663510426503
10,Random,100,0,7410,0.9340189634607508
11,Random,100,0,7590,0.9319167310278687
12,Random,100,0,7590,0.93176605082289
13,Random,100,0,7230,0.932757675144142
14,Random,100,0,7410,0.9321001802745553
15,Random,100,0,7230,0.9319893427036123
16,Random,100,0,7500,0.9327084310377213
17,Random,100,0,7500,0.9326366921510655
18,Random,100,0,8400,0.9312573007369673
19,Random,100,0,7320,0.9336567087487517
20,Random,100,0,7860,0.9320935280976096
21,Random,100,0,7590,0.9318655015758018
22,Random,100,0,7590,0.9320152597798222
23,Random,100,0,7860,0.9322392821082487
24,Random,100,0,8310,0.9322503405795828
25,Random,100,0,7500,0.9331977436673333
26,Random,100,0,7590,0.9328096812159812
27,Random,100,0,7950,0.931371378634359
28,Random,100,0,7500,0.9319863549813409
29,Random,100,0,7680,0.9321883998414434
30,Random,100,0,7230,0.933290575855937
31,Random,100,0,7320,0.9334095253379797
32,Random,100,0,6960,0.9343035488999055
33,Random,100,0,7590,0.9322918610965762
34,Random,100,0,7680,0.9314638618933178
35,Random,100,0,7590,0.9326779071564039
36,Random,100,0,7320,0.933154295498033
37,Random,100,0,6600,0.9340289663518195
38,Random,100,0,7680,0.932997826907796
39,Random,100,0,7950,0.9313010202670045
40,Random,100,0,7590,0.9334279872498923
41,Random,100,0,7140,0.9339694760217921
42,Random,100,0,6870,0.9336246952065038
43,Random,100,0,7050,0.9326921899456032
44,Random,100,0,8040,0.9323716857859844
45,Random,100,0,7500,0.9319973497484585
46,Random,100,0,8490,0.930246618374479
47,Random,100,0,8130,0.9313300627659524
48,Random,100,0,7500,0.9325403016422339
49,Random,100,0,7500,0.9326429756931417
50,Random,100,0,8040,0.9309344999197857
51,Random,100,0,7590,0.9323835549276637
52,Random,100,0,8580,0.9316625167634598
53,Random,100,0,6690,0.9340007308269067
54,Random,100,0,7860,0.9307670963505804
55,Random,100,0,7680,0.9326845181529433
56,Random,100,0,7950,0.9329522060878349
57,Random,100,0,7320,0.9330450479186851
58,Random,100,0,7500,0.932603993657942
59,Random,100,0,6960,0.9336503448924003
60,Random,100,0,7860,0.9308534777202379
61,Random,100,0,7140,0.9350502440761657
62,Random,100,0,7680,0.9319754402166188
63,Random,100,0,7230,0.9348455172011507
64,Random,100,0,7320,0.9329222196196112
65,Random,100,0,7500,0.9320818846234322
66,Random,100,0,7860,0.9314943423144277
67,Random,100,0,7230,0.931892828362224
68,Random,100,0,8130,0.9318735945807355
69,Random,100,0,6780,0.9336649975837706
70,Random,100,0,7050,0.9316190133415494
71,Random,100,0,7680,0.932216325031594
72,Random,100,0,7050,0.9341047278335868
73,Random,100,0,7140,0.9340423428422034
74,Random,100,0,7590,0.9320580714978222
75,Random,100,0,6870,0.9327810305232176
76,Random,100,0,8040,0.9322601321908004
77,Random,100,0,6690,0.9342747043315991
78,Random,100,0,8310,0.9317394976892336
79,Random,100,0,6600,0.9351192298723919
80,Random,100,0,8490,0.9309237502185805
81,Random,100,0,7680,0.9324106869058133
82,Random,100,0,7860,0.9321838834525877
83,Random,100,0,8130,0.9317487856205108
84,Random,100,0,7050,0.934063925346714
85,Random,100,0,7500,0.9307530260236994
86,Random,100,0,7410,0.9335410369912325
87,Random,100,0,7320,0.9320040098484117
88,Random,100,0,7230,0.9334429161032266
89,Random,100,0,7410,0.9340361126154
90,Random,100,0,6690,0.933367916251782
91,Random,100,0,8310,0.9319069338054737
92,Random,100,0,7590,0.9327248727207647
93,Random,100,0,7500,0.9330214333186893
94,Random,100,0,7500,0.9327321085275855
95,Random,100,0,7860,0.933133492467053
96,Random,100,0,7590,0.9323619018683743
97,Random,100,0,7320,0.9316670799679139
98,Random,100,0,7680,0.9329798125075589
99,Random,100,0,6870,0.9344028728644438
100,Random,100,0,7140,0.933076112143531
